event_id,date,organizer,place,artist_id,fee
0,2010-09-03,Brutal Tunes Inc.,Cutty Sark,11,8000.0
1,2010-10-30,The Night Sky,ABBA Arena,2,4900.0
2,2010-11-16,O-mega Events,O2 Forum Kentish Town,1,4100.0
3,2011-01-12,The Night Sky,Dixie Queen,6,11600.0
4,2011-03-12,Heaven & Sky,Barbican Centre,24,12500.0
5,2011-03-20,Urban Entertainment Inc.,Dalston Roofpark,11,12500.0
6,2011-04-01,Mirabelle Lafleur,Hijingo,6,2700.0
7,2011-07-17,Excellent Experiences Corp.,London Museum Docklands,6,2600.0
8,2011-07-28,Excellent Experiences Corp.,Lio London,7,17900.0
9,2011-08-09,Night Out London,The Amadeus,4,14700.0
10,2011-08-14,Excellent Experiences Corp.,London Stadium,12,12200.0
11,2011-11-29,Moshpit Gigs Ltd.,Alexandra Palace,11,15700.0
12,2011-12-02,Yes and Yes,Wembley Stadium,35,30600.0
13,2011-12-13,Einstein Records,Islington Assembly Hall,17,4200.0
14,2011-12-21,Ultimate Entertainment Inc.,The Dutch Hall,27,4100.0
15,2011-12-28,Hackney Events,Wembley Stadium,16,28500.0
16,2012-02-15,Ultimate Entertainment Inc.,Lighthouse Theatre,21,7400.0
17,2012-02-17,Brutal Tunes Inc.,The Covent Garden Comedy Cellar,24,5200.0
18,2012-04-19,Mile End Move It,Indigo at The O2,12,17300.0
19,2012-05-22,Einstein Records,Curve Club,24,6500.0
20,2012-05-25,Kenny Meyer,Big Belly Comedy Club,11,23300.0
21,2012-06-09,Arts On End,Linbury Theatre,30,4600.0
22,2012-06-20,Underground Action Lab,O2 Forum Kentish Town,10,4800.0
23,2012-07-16,Mirabelle Lafleur,London Museum Docklands,18,16500.0
24,2012-08-11,Arts On End,Dalston Roofpark,35,2800.0
25,2012-08-12,Arts On End,ILEC Conference Centre,24,3200.0
26,2012-08-15,Kenny Meyer,London Museum Docklands,24,3100.0
27,2012-08-29,Jacky Coyote,The Octagon at QMUL,15,27100.0
28,2012-09-07,Underground Action Lab,Courthouse Hotel Shoreditch,34,4900.0
29,2012-09-12,Palavarium,Boisdale of Canary Wharf,24,32700.0
30,2012-09-13,Pantomime Records,The Covent Garden Comedy Cellar,24,5500.0
31,2012-09-21,Brutal Tunes Inc.,Lighthouse Theatre,7,25400.0
32,2012-10-04,O-mega Events,Wembley Stadium,13,8100.0
33,2012-10-07,Go All Out,Islington Assembly Hall,17,4900.0
34,2012-11-02,O-mega Events,London Stadium,24,4100.0
35,2012-11-10,Heaven & Sky,Lighthouse Theatre,54,21400.0
36,2012-12-07,Happy Hamsters,King's Cross Vision Hall,24,8800.0
37,2012-12-10,Arts On End,ABBA Arena,24,13000.0
38,2012-12-27,Arts On End,Hijingo,40,7200.0
